Port,Protocol,Service,Description,Risk,Category,Recommendation
3366,tcp,creativepartnr,Creative Partner,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3366,udp,creativepartnr,Creative Partner,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3367-3371,,satvid-datalnk,Satellite Video Data Link,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3372,tcp,tip2,TIP 2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3372,udp,tip2,TIP 2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3373,tcp,lavenir-lm,Lavenir License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3373,udp,lavenir-lm,Lavenir License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3374,tcp,cluster-disc,Cluster Disc,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3374,udp,cluster-disc,Cluster Disc,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3375,tcp,vsnm-agent,VSNM Agent,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3375,udp,vsnm-agent,VSNM Agent,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3376,tcp,cdbroker,CD Broker,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3376,udp,cdbroker,CD Broker,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3377,tcp,cogsys-lm,Cogsys Network License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3377,udp,cogsys-lm,Cogsys Network License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3378,tcp,wsicopy,WSICOPY,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3378,udp,wsicopy,WSICOPY,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3379,tcp,socorfs,SOCORFS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3379,udp,socorfs,SOCORFS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3380,tcp,sns-channels,SNS Channels,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3380,udp,sns-channels,SNS Channels,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3381,tcp,geneous,Geneous,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3381,udp,geneous,Geneous,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3382,tcp,fujitsu-neat,Fujitsu Network Enhanced Antitheft function,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3382,udp,fujitsu-neat,Fujitsu Network Enhanced Antitheft function,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3383,tcp,esp-lm,Enterprise Software Products License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3383,udp,esp-lm,Enterprise Software Products License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3384,tcp,hp-clic,Cluster Management Services,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3384,udp,hp-clic,Hardware Management,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3385,tcp,qnxnetman,qnxnetman,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3385,udp,qnxnetman,qnxnetman,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3386,tcp,gprs-data,GPRS Data,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3386,udp,gprs-sig,GPRS SIG,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3387,tcp,backroomnet,Back Room Net,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3387,udp,backroomnet,Back Room Net,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3388,tcp,cbserver,CB Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3388,udp,cbserver,CB Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3389,tcp,ms-wbt-server,MS WBT Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3389,udp,ms-wbt-server,MS WBT Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3390,tcp,dsc,Distributed Service Coordinator,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3390,udp,dsc,Distributed Service Coordinator,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3391,tcp,savant,SAVANT,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3391,udp,savant,SAVANT,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3392,tcp,efi-lm,EFI License Management,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3392,udp,efi-lm,EFI License Management,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3393,tcp,d2k-tapestry1,D2K Tapestry Client to Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3393,udp,d2k-tapestry1,D2K Tapestry Client to Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3394,tcp,d2k-tapestry2,D2K Tapestry Server to Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3394,udp,d2k-tapestry2,D2K Tapestry Server to Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3395,tcp,dyna-lm,Dyna License Manager (Elam),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3395,udp,dyna-lm,Dyna License Manager (Elam),LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3396,tcp,printer-agent,"Printer Agent
IANA assigned this well-formed service name as a replacement for ""printer_agent"".",LOW,Printing Services,Restrict printer access; Disable unused print services.
3396,tcp,printer_agent,Printer Agent,LOW,Printing Services,Restrict printer access; Disable unused print services.
3396,udp,printer-agent,"Printer Agent
IANA assigned this well-formed service name as a replacement for ""printer_agent"".",LOW,Printing Services,Restrict printer access; Disable unused print services.
3396,udp,printer_agent,Printer Agent,LOW,Printing Services,Restrict printer access; Disable unused print services.
3397,tcp,cloanto-lm,Cloanto License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3397,udp,cloanto-lm,Cloanto License Manager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3398,tcp,mercantile,Mercantile,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3398,udp,mercantile,Mercantile,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3399,tcp,csms,CSMS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3399,udp,csms,CSMS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3400,tcp,csms2,CSMS2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3400,udp,csms2,CSMS2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3401,tcp,filecast,filecast,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3401,udp,filecast,filecast,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3402,tcp,fxaengine-net,FXa Engine Network Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3402,udp,fxaengine-net,FXa Engine Network Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3403,,Unknown,De-registered,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3404,,Unknown,Removed,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3405,tcp,nokia-ann-ch1,Nokia Announcement ch 1,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3405,udp,nokia-ann-ch1,Nokia Announcement ch 1,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3406,tcp,nokia-ann-ch2,Nokia Announcement ch 2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3406,udp,nokia-ann-ch2,Nokia Announcement ch 2,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3407,tcp,ldap-admin,LDAP admin server port,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
3407,udp,ldap-admin,LDAP admin server port,LOW,Network Infrastructure,Restrict access to trusted networks; Monitor traffic; Keep services patched.
3408,tcp,BESApi,BES Api Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3408,udp,BESApi,BES Api Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3409,tcp,networklens,NetworkLens Event Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3409,udp,networklens,NetworkLens Event Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3410,tcp,networklenss,NetworkLens SSL Event,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3410,udp,networklenss,NetworkLens SSL Event,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3411,tcp,biolink-auth,BioLink Authenteon server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3411,udp,biolink-auth,BioLink Authenteon server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3412,tcp,xmlblaster,xmlBlaster,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3412,udp,xmlblaster,xmlBlaster,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3413,tcp,svnet,SpecView Networking,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3413,udp,svnet,SpecView Networking,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3414,tcp,wip-port,BroadCloud WIP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3414,udp,wip-port,BroadCloud WIP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3415,tcp,bcinameservice,BCI Name Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3415,udp,bcinameservice,BCI Name Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3416,tcp,commandport,AirMobile IS Command Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3416,udp,commandport,AirMobile IS Command Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3417,tcp,csvr,ConServR file translation,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3417,udp,csvr,ConServR file translation,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3418,tcp,rnmap,Remote nmap,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3418,udp,rnmap,Remote nmap,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3419,tcp,softaudit,Isogon SoftAudit,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3419,udp,softaudit,ISogon SoftAudit,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3420,tcp,ifcp-port,iFCP User Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3420,udp,ifcp-port,iFCP User Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3421,tcp,bmap,Bull Apprise portmapper,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3421,udp,bmap,Bull Apprise portmapper,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3422,tcp,rusb-sys-port,Remote USB System Port,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3422,udp,rusb-sys-port,Remote USB System Port,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3423,tcp,xtrm,xTrade Reliable Messaging,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3423,udp,xtrm,xTrade Reliable Messaging,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3424,tcp,xtrms,xTrade over TLS/SSL,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3424,udp,xtrms,xTrade over TLS/SSL,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3425,tcp,agps-port,AGPS Access Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3425,udp,agps-port,AGPS Access Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3426,tcp,arkivio,Arkivio Storage Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3426,udp,arkivio,Arkivio Storage Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3427,tcp,websphere-snmp,WebSphere SNMP,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
3427,udp,websphere-snmp,WebSphere SNMP,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
3428,tcp,twcss,2Wire CSS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3428,udp,twcss,2Wire CSS,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3429,tcp,gcsp,GCSP user port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3429,udp,gcsp,GCSP user port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3430,tcp,ssdispatch,Scott Studios Dispatch,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3430,udp,ssdispatch,Scott Studios Dispatch,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3431,tcp,ndl-als,Active License Server Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3431,udp,ndl-als,Active License Server Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3432,tcp,osdcp,Secure Device Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3432,udp,osdcp,Secure Device Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3433,tcp,opnet-smp,OPNET Service Management Platform,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3433,udp,opnet-smp,OPNET Service Management Platform,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3434,tcp,opencm,OpenCM Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3434,udp,opencm,OpenCM Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3435,tcp,pacom,Pacom Security User Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3435,udp,pacom,Pacom Security User Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3436,tcp,gc-config,GuardControl Exchange Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3436,udp,gc-config,GuardControl Exchange Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3437,tcp,autocueds,Autocue Directory Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3437,udp,autocueds,Autocue Directory Service,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3438,tcp,spiral-admin,Spiralcraft Admin,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3438,udp,spiral-admin,Spiralcraft Admin,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3439,tcp,hri-port,HRI Interface Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3439,udp,hri-port,HRI Interface Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3440,tcp,ans-console,Net Steward Mgmt Console,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3440,udp,ans-console,Net Steward Mgmt Console,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3441,tcp,connect-client,OC Connect Client,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3441,udp,connect-client,OC Connect Client,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3442,tcp,connect-server,OC Connect Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3442,udp,connect-server,OC Connect Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3443,tcp,ov-nnm-websrv,OpenView Network Node Manager WEB Server,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
3443,udp,ov-nnm-websrv,OpenView Network Node Manager WEB Server,LOW,Web Services,Enable HTTPS; Keep web server updated; Use a Web Application Firewall (WAF).
3444,tcp,denali-server,Denali Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3444,udp,denali-server,Denali Server,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3445,tcp,monp,Media Object Network Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3445,udp,monp,Media Object Network Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3446,tcp,3comfaxrpc,3Com FAX RPC port,MEDIUM,Windows Services,Disable legacy protocols; Restrict internal access; Apply latest Microsoft security updates.
3446,udp,3comfaxrpc,3Com FAX RPC port,MEDIUM,Windows Services,Disable legacy protocols; Restrict internal access; Apply latest Microsoft security updates.
3447,tcp,directnet,DirectNet IM System,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3447,udp,directnet,DirectNet IM System,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3448,tcp,dnc-port,Discovery and Net Config,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3448,udp,dnc-port,Discovery and Net Config,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3449,tcp,hotu-chat,HotU Chat,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3449,udp,hotu-chat,HotU Chat,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3450,tcp,castorproxy,CAStorProxy,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3450,udp,castorproxy,CAStorProxy,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3451,tcp,asam,ASAM Services,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3451,udp,asam,ASAM Services,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3452,tcp,sabp-signal,SABP-Signalling Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3452,udp,sabp-signal,SABP-Signalling Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3453,tcp,pscupd,PSC Update,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3453,udp,pscupd,PSC Update,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3454,tcp,mira,Apple Remote Access Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3454,udp,mira,Apple Remote Access Protocol,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3455,tcp,prsvp,RSVP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3455,udp,prsvp,RSVP Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3456,tcp,vat,VAT default data,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3456,udp,vat,VAT default data,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3457,tcp,vat-control,VAT default control,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3457,udp,vat-control,VAT default control,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3458,tcp,d3winosfi,D3WinOSFI,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3458,udp,d3winosfi,D3WinOSFI,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3459,tcp,integral,TIP Integral,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3459,udp,integral,TIP Integral,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3460,tcp,edm-manager,EDM Manger,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3460,udp,edm-manager,EDM Manger,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3461,tcp,edm-stager,EDM Stager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3461,udp,edm-stager,EDM Stager,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3462,tcp,edm-std-notify,EDM STD Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3462,udp,edm-std-notify,EDM STD Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3463,tcp,edm-adm-notify,EDM ADM Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3463,udp,edm-adm-notify,EDM ADM Notify,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3464,tcp,edm-mgr-sync,EDM MGR Sync,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3464,udp,edm-mgr-sync,EDM MGR Sync,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3465,tcp,edm-mgr-cntrl,EDM MGR Cntrl,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3465,udp,edm-mgr-cntrl,EDM MGR Cntrl,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3466,tcp,workflow,WORKFLOW,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3466,udp,workflow,WORKFLOW,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3467,tcp,rcst,RCST,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3467,udp,rcst,RCST,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3468,tcp,ttcmremotectrl,TTCM Remote Controll,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3468,udp,ttcmremotectrl,TTCM Remote Controll,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3469,tcp,pluribus,Pluribus,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3469,udp,pluribus,Pluribus,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3470,tcp,jt400,jt400,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3470,udp,jt400,jt400,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3471,tcp,jt400-ssl,jt400-ssl,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3471,udp,jt400-ssl,jt400-ssl,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3472,tcp,jaugsremotec-1,JAUGS N-G Remotec 1,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3472,udp,jaugsremotec-1,JAUGS N-G Remotec 1,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3473,tcp,jaugsremotec-2,JAUGS N-G Remotec 2,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3473,udp,jaugsremotec-2,JAUGS N-G Remotec 2,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3474,tcp,ttntspauto,TSP Automation,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3474,udp,ttntspauto,TSP Automation,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3475,tcp,genisar-port,Genisar Comm Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3475,udp,genisar-port,Genisar Comm Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3476,tcp,nppmp,NVIDIA Mgmt Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3476,udp,nppmp,NVIDIA Mgmt Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3477,tcp,ecomm,eComm link port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3477,udp,ecomm,eComm link port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,tcp,stun,Session Traversal Utilities for NAT (STUN) port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,udp,stun,Session Traversal Utilities for NAT (STUN) port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,tcp,turn,TURN over TCP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,udp,turn,TURN over UDP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,tcp,stun-behavior,STUN Behavior Discovery over TCP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3478,udp,stun-behavior,STUN Behavior Discovery over UDP,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3479,tcp,twrpc,2Wire RPC,MEDIUM,Windows Services,Disable legacy protocols; Restrict internal access; Apply latest Microsoft security updates.
3479,udp,twrpc,2Wire RPC,MEDIUM,Windows Services,Disable legacy protocols; Restrict internal access; Apply latest Microsoft security updates.
3480,tcp,plethora,Secure Virtual Workspace,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3480,udp,plethora,Secure Virtual Workspace,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3481,tcp,cleanerliverc,CleanerLive remote ctrl,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3481,udp,cleanerliverc,CleanerLive remote ctrl,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3482,tcp,vulture,Vulture Monitoring System,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3482,udp,vulture,Vulture Monitoring System,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3483,tcp,slim-devices,Slim Devices Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3483,udp,slim-devices,Slim Devices Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3484,tcp,gbs-stp,GBS SnapTalk Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3484,udp,gbs-stp,GBS SnapTalk Protocol,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3485,tcp,celatalk,CelaTalk,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3485,udp,celatalk,CelaTalk,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3486,tcp,ifsf-hb-port,IFSF Heartbeat Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3486,udp,ifsf-hb-port,IFSF Heartbeat Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3487,tcp,ltctcp,LISA TCP Transfer Channel,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3487,udp,ltcudp,LISA UDP Transfer Channel,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3488,tcp,fs-rh-srv,FS Remote Host Server,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3488,udp,fs-rh-srv,FS Remote Host Server,LOW,Remote Access,Restrict access by IP; Enable MFA; Use VPN; Disable unused remote access services.
3489,tcp,dtp-dia,DTP/DIA,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3489,udp,dtp-dia,DTP/DIA,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3490,tcp,colubris,Colubris Management Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3490,udp,colubris,Colubris Management Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3491,tcp,swr-port,SWR Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3491,udp,swr-port,SWR Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
3492,tcp,tvdumtray-port,TVDUM Tray Port,LOW,General Services,Review service configuration; Disable if unused; Apply security patches regularly.
